word,definition,created-at,Created,Modified,alternative-spellings,kate-farm-school,language,opposite,part-of-speach,part-of-speech,pronounciation,source,source-url,updated-at
absquatulate,to leave somewhere abruptly,2023-07-06 21:22:23,2023-07-06T21:22:23.000-07:00,2023-09-29T08:25:16.000-07:00,,,English,,,verb,,,,2023-09-29 08:25:16
alight,to descend from the air and settle,2024-02-19 09:56:23,2024-02-19T09:56:23.000-08:00,2024-02-22T08:02:05.000-08:00,,yes,English,,,,,,,2024-02-22 08:02:04
alistic,the opposite of autistic,2024-07-17 10:33:38,2024-07-17T10:33:38.479-07:00,2024-07-17T10:33:54.531-07:00,,,English,,,,,,,2024-07-17 10:33:38
apoplectic,"overcome with anger,extremely indignant",2024-02-16 09:33:06,2024-02-16T09:33:05.000-08:00,2024-02-22T08:02:48.000-08:00,,yes,English,,,,,,,2024-02-22 08:02:47
aporetic,"A skeptic; one who believes that perfect certainty is unattainable, and finds in every object of thought insoluble difficulties.",2024-06-02 10:38:41,2024-06-02T10:38:41.457-07:00,2024-06-02T10:38:59.136-07:00,,,English,,,,,,,2024-06-02 10:38:41
aporia,"an irresolvable internal contradiction or logical disjunction in a text, argument, or theory",2023-09-18 13:16:59,2023-09-18T13:16:59.000-07:00,2024-02-12T09:46:13.000-08:00,,yes,,,,,,,,2024-02-12 09:46:11
assuage,make (an unpleasant feeling) less intense,2023-07-17 11:39:41,2023-07-17T11:39:41.000-07:00,2024-03-07T07:54:02.000-08:00,,yes,English,,,verb,,,,2024-03-07 07:54:00
auspice,"(under the auspice) it is done with their support and approval,a divine or prophetic token",2024-04-04 17:41:22,2024-04-04T17:41:22.692-07:00,2024-04-18T07:54:55.236-07:00,,yes,English,,noun,,/ˈôspəs/,,,2024-04-18 07:54:54
autochthonous,"(of an inhabitant of a place) indigenous rather than descended from migrants or colonists.,(of a disease) originating in the geographical area where the patient lives; locally acquired.",2024-02-05 15:48:35,2024-02-05T15:48:34.000-08:00,2024-04-18T07:58:27.162-07:00,,yes,English,,,,,,,2024-04-18 07:58:26
avolition,"extreme empathy, or a lack of motivation so severe that seemingly ‘ordinary’ tasks become paralysingly difficult",2023-09-05 12:50:21,2023-09-05T12:50:21.000-07:00,2024-04-11T08:41:31.664-07:00,,yes,,,,noun,,,,2024-04-11 08:41:29
avuncular,"relating to an uncle,[anthropology] relating to the relationship between men and their siblings' children",2023-09-28 19:50:01,2023-09-28T19:50:00.000-07:00,2024-02-12T09:47:07.000-08:00,,yes,English,,,,,,,2024-02-12 09:47:06
bicameral,"two bodies in a legislature,a writing system with two cases",2023-08-18 17:03:52,2023-08-18T17:03:52.000-07:00,2023-09-29T08:25:57.000-07:00,,,,,,,,,,2023-09-29 08:25:54
bulwark,"a solid wall-like structure raised for defense,a strong support or protection",2024-05-02 08:12:31,2024-05-02T08:12:30.938-07:00,2024-05-02T08:12:46.556-07:00,,yes,English,,,,,,,2024-05-02 08:12:31
butyraceous,having the characteristics of butter,2023-07-31 21:36:25,2023-07-31T21:36:25.000-07:00,2024-02-12T09:46:51.000-08:00,,yes,,,,adjective,,,,2024-02-12 09:46:50
captious,(of a person) tending to find fault or raise petty objections,2024-02-05 15:48:56,2024-02-05T15:48:56.000-08:00,2024-03-14T08:14:21.977-07:00,,yes,English,,,,,,,2024-03-14 08:14:21
complect,"intertwine, embrace. especially : to plait together : interweave",2023-07-09 21:32:16,2023-07-09T21:32:16.000-07:00,2024-05-16T08:04:14.000-07:00,,yes,English,,,verb,,,,2024-05-16 08:04:13
concupiscence,"strong sexual desire, lust",2023-08-02 06:57:53,2023-08-02T06:57:53.000-07:00,2023-09-29T08:26:57.000-07:00,,,,,,noun,,,,2023-09-29 08:26:57
cynosure,a person or thing that is the center of attention or admiration,2024-02-05 15:48:48,2024-02-05T15:48:48.000-08:00,2024-03-14T08:15:54.917-07:00,,yes,English,,,,,,,2024-03-14 08:15:52
desultory,"lacking a plan, purpose, or enthusiasm",2023-09-04 08:03:24,2023-09-04T08:03:24.000-07:00,2024-05-23T07:53:14.956-07:00,,yes,,,,adjective,,,,2024-05-23 07:53:13
elide,,2024-02-12 09:46:30,2024-02-12T09:46:30.000-08:00,2024-02-12T09:46:30.000-08:00,,,,,,,,,,
elide ,"omit (a sound or syllable) when speaking,join together; merge",2023-09-20 12:14:28,2023-09-20T12:14:28.000-07:00,2024-02-12T09:46:39.000-08:00,,yes,English,,,,,,,2024-02-12 09:46:38
discursive,digressing from a subject,2023-08-16 21:06:54,2023-08-16T21:06:54.000-07:00,2023-09-29T08:27:03.000-07:00,,,,,,adjective,,,,2023-09-29 08:27:03
emollient,"having the quality of softening or soothing the skin.,a preparation that softens the skin",2024-02-05 15:48:20,2024-02-05T15:48:20.000-08:00,2024-05-16T08:06:00.000-07:00,,yes,English,,,,,,,2024-05-16 08:05:59
enervating,causing one to feel drained of energy or vitality,2024-01-02 14:03:45,2024-01-02T14:03:44.000-08:00,2024-04-25T08:17:39.065-07:00,,yes,English,,adjective,,,,,2024-04-25 08:17:38
eristic,aiming at winning rather than at reaching the truth in an argument or one that does so,2023-09-20 12:26:57,2023-09-20T12:26:53.000-07:00,2024-02-15T08:24:31.000-08:00,,yes,English,,,,,,,2024-02-15 08:24:30
ex ante,based on assumption and prediction and being essentially subjective and estimative,2024-05-02 08:07:26,2024-05-02T08:07:25.962-07:00,2024-05-02T08:07:51.666-07:00,,yes,English,ex post,,,,,,2024-05-02 08:07:26
exacerbate,"make (a problem, bad situation, or negative feeling) worse",2023-07-11 21:55:46,2023-07-11T21:55:46.000-07:00,2024-05-23T07:54:15.057-07:00,,yes,English,,,verb,,,,2024-05-23 07:54:13
exeunt,used as a stage direction in a printed play to indicate that a group of characters leave the stage,2023-09-15 17:49:37,2023-09-15T17:49:37.000-07:00,2024-11-24T09:38:14.355-08:00,,,,,,,,,,2023-09-29 08:27:28
fervid,"somewhat formal word describing people or things that express, or are expressive of, strong feelings",2023-09-28 08:31:42,2023-09-28T08:31:42.000-07:00,2024-02-15T08:21:10.000-08:00,,yes,English,,,,,,,2024-02-15 08:21:10
forfend,"protect,preserve,(archaic) forbid (to ward off) prevent",2024-05-02 08:10:20,2024-05-02T08:10:20.290-07:00,2024-05-02T08:11:10.004-07:00,,yes,English,,,,,,,2024-05-02 08:10:20
gibbeting,an execution style that involves hanging the condemned to rot (death often takes weeks to occur),2024-04-11 14:08:03,2024-04-11T14:08:03.173-07:00,2024-04-11T19:10:23.208-07:00,,,English,,,,,,https://www.youtube.com/watch?v=SOn3wba8c-Y,2024-04-11 19:10:23
Haferflocken,(German) oatmeal,2020-12-07 14:00:00,2020-12-07T14:00:00.000-08:00,2024-02-12T09:47:20.000-08:00,,yes,German,,,,,,,2024-02-12 09:47:20
homophily,the tendency for people to seek out or be attracted to those who are similar to themselves,2024-02-28 22:21:54,2024-02-28T22:21:53.000-08:00,2024-03-07T07:54:39.000-08:00,,yes,English,,,,,,,2024-03-07 07:54:39
ichthiology,the branch of zoology that deals with fishes,2023-09-28 19:49:16,2023-09-28T19:49:16.000-07:00,2024-04-11T08:43:15.236-07:00,,yes,English,,,,,,,2024-04-11 08:43:08
jurisprudence,the science or philosophy of law,2023-08-24 21:28:54,2023-08-24T21:28:54.000-07:00,2023-09-29T08:27:55.000-07:00,,,,,,,,,,2023-09-29 08:27:55
majuscule,capital letter,2023-08-18 16:59:42,2023-08-18T16:59:42.000-07:00,2023-09-29T08:27:59.000-07:00,,,,,,noun,,,,2023-09-29 08:27:59
mellifluous,beautiful sounding,2023-07-10 18:01:15,2023-07-10T18:01:15.000-07:00,2024-02-15T08:25:06.000-08:00,,yes,English,,,adjective,,,,2024-02-15 08:25:06
marcescent,(of a plant) withering without falling off,2024-02-19 09:54:46,2024-02-19T09:54:46.000-08:00,2024-04-04T07:59:44.306-07:00,,yes,English,,,,,,,2024-04-04 07:59:42
